No;Author
1342; Bae E, 2006, IEEE DATA MINING, P53 11 43  
1344; Bay S, 2006, IEEE DATA MINING, P75 3 17  
1345; Bilenko M, 2006, IEEE DATA MINING, P87 3 61  
1347; Caruana R, 2006, IEEE DATA MINING, P107 2 47  
1348; Celik M, 2006, IEEE DATA MINING, P119 3 23  
1350; Cheng J, 2006, IEEE DATA MINING, P139 2 11  
1356; Gao BJ, 2006, IEEE DATA MINING, P200 2 4  
1357; Gao J, 2006, IEEE DATA MINING, P212 3 30  
1359; Gupta G, 2006, IEEE DATA MINING, P232 2 7  
1369; Li T, 2006, IEEE DATA MINING, P362 9 80  
1374; Moise G, 2006, IEEE DATA MINING, P414 3 28  
1376; Ngai WK, 2006, IEEE DATA MINING, P436 4 69  
1377; Papadimitriou S, 2006, IEEE DATA MINING, P456 4 39  
1381; Preisach C, 2006, IEEE DATA MINING, P499 2 5  
1385; Singla P, 2006, IEEE DATA MINING, P572 3 104  
1387; Sun YM, 2006, IEEE DATA MINING, P592 3 87  
1389; Tong HH, 2006, IEEE DATA MINING, P613 14 254  
1390; Ueno K, 2006, IEEE DATA MINING, P623 3 31  
1391; Veloso A, 2006, IEEE DATA MINING, P645 2 44  
1392; Verhein F, 2006, IEEE DATA MINING, P655 2 5  
1394; Wale N, 2006, IEEE DATA MINING, P678 2 15  
1396; Wei L, 2006, IEEE DATA MINING, P711 3 20  
1406; Borgwardt KM, 2006, IEEE DATA MINING, P818 7 41  
1407; Cao HP, 2006, IEEE DATA MINING, P823 3 12  
1408; Caruana R, 2006, IEEE DATA MINING, P828 4 42  
1417; He HH, 2006, IEEE DATA MINING, P885 2 9  
1422; Leung CKS, 2006, IEEE DATA MINING, P928 4 53  
1428; Liu XY, 2006, IEEE DATA MINING, P965 6 72  
1429; Liu XY, 2006, IEEE DATA MINING, P970 5 87  
1441; Sim K, 2006, IEEE DATA MINING, P1059 2 21  
1444; Sun JM, 2006, IEEE DATA MINING, P1076 2 23  
1448; Thomas LT, 2006, IEEE DATA MINING, P1097 4 23  
1452; Wang F, 2006, IEEE DATA MINING, P1119 2 13  
1458; Wu ST, 2006, IEEE DATA MINING, P1157 2 41  
1459; Xiong H, 2006, IEEE DATA MINING, P1162 3 10  
1494; Cao F, 2006, SIAM PROC S, P328 11 215  
1541; Chui CK, 2007, LECT NOTES COMPUT SC, V4426, P47 9 106  
1545; Hu QH, 2007, LECT NOTES COMPUT SC, V4426, P96 2 17  
1558; Pfahringer B, 2007, LECT NOTES COMPUT SC, V4426, P236 2 4  
1571; Zhu F, 2007, LECT NOTES COMPUT SC, V4426, P388 2 21  
1710; Wu B, 2007, LECT NOTES COMPUT SC, V4819, P476 4 15  
1876; Ando S, 2007, IEEE DATA MINING, P13 3 20  
1879; Bell RM, 2007, IEEE DATA MINING, P43 9 121  
1880; Bringmann B, 2007, IEEE DATA MINING, P63 3 26  
1882; Calders T, 2007, IEEE DATA MINING, P83 2 27  
1887; Cui Y, 2007, IEEE DATA MINING, P133 8 45  
1888; Gao J, 2007, IEEE DATA MINING, P143 5 53  
1897; Musicant DR, 2007, IEEE DATA MINING, P252 3 18  
1901; Tang J, 2007, IEEE DATA MINING, P292 3 33  
1903; Wang C, 2007, IEEE DATA MINING, P322 3 66  
1904; Wang P, 2007, IEEE DATA MINING, P332 3 19  
1906; Wang XZ, 2007, IEEE DATA MINING, P351 4 23  
1910; Zhang ZG, 2007, IEEE DATA MINING, P391 6 35  
1911; Assent I, 2007, IEEE DATA MINING, P409 4 29  
1915; Celik M, 2007, IEEE DATA MINING, P433 3 17  
1919; Cheng H, 2007, IEEE DATA MINING, P457 2 18  
1928; Ide T, 2007, IEEE DATA MINING, P523 2 21  
1931; Jindal N, 2007, IEEE DATA MINING, P547 2 48  
1936; Li T, 2007, IEEE DATA MINING, P577 3 62  
1937; Liang YL, 2007, IEEE DATA MINING, P583 2 29  
1940; Minnen D, 2007, IEEE DATA MINING, P601 3 26  
1941; Nguyen N, 2007, IEEE DATA MINING, P607 5 75  
1948; Shivaswamy PK, 2007, IEEE DATA MINING, P655 2 30  
1962; Zhu XQ, 2007, IEEE DATA MINING, P757 2 30  
1966; Agarwal D, 2007, KDD-2007 PROCEEDINGS OF THE T, P26 5 18  
1968; Aggarwal CC, 2007, KDD-2007 PROCEEDINGS OF THE T, P46 2 32  
1970; Arnold A, 2007, KDD-2007 PROCEEDINGS OF THE T, P66 2 56  
1972; Becker H, 2007, KDD-2007 PROCEEDINGS OF THE T, P86 2 4  
1973; Bell RM, 2007, KDD-2007 PROCEEDINGS OF THE T, P95 4 77  
1977; Chen YX, 2007, KDD-2007 PROCEEDINGS OF THE T, P133 6 139  
1978; Chew PA, 2007, KDD-2007 PROCEEDINGS OF THE T, P143 2 23  
1979; Chi Y, 2007, KDD-2007 PROCEEDINGS OF THE T, P153 4 98  
1981; Chopra S, 2007, KDD-2007 PROCEEDINGS OF THE T, P173 2 7  
1985; Dai WY, 2007, KDD-2007 PROCEEDINGS OF THE T, P210 5 93  
1986; Das K, 2007, KDD-2007 PROCEEDINGS OF THE T, P220 2 27  
1989; Deodhar M, 2007, KDD-2007 PROCEEDINGS OF THE T, P250 4 10  
1997; Giannotti F, 2007, KDD-2007 PROCEEDINGS OF THE T, P330 16 350  
1999; Heikinheimo H, 2007, KDD-2007 PROCEEDINGS OF THE T, P350 2 10  
2003; Ke YP, 2007, KDD-2007 PROCEEDINGS OF THE T, P390 2 13  
2005; Laxman S, 2007, KDD-2007 PROCEEDINGS OF THE T, P410 3 44  
2006; Leskovec J, 2007, KDD-2007 PROCEEDINGS OF THE T, P420 26 583  
2007; Li JY, 2007, KDD-2007 PROCEEDINGS OF THE T, P430 4 40  
2011; Long B, 2007, KDD-2007 PROCEEDINGS OF THE T, P470 2 41  
2014; Mimno D, 2007, KDD-2007 PROCEEDINGS OF THE T, P500 2 64  
